('19131544', 1121.4249107333112)
('40233612', 1107.4251094679921)
('19131481', 879.0779182056724)
('44783628', 820.0347352556407)
('4098740', 768.105817450619)
('37119138', 728.6940575475434)
('3018994', 726.5751710216754)
('3022250', 726.5751710216754)
('40173507', 700.4274869799882)
('42800463', 675.430511191428)
('441827', 643.3259731174143)
('4058695', 642.7074180147576)
('4331309', 617.6874031172188)
('40171333', 595.1199180186347)
('45770830', 573.4918410376955)
('435565', 565.8330835136567)
('4029420', 563.8504397252276)
('432589', 554.434693737095)
('37312519', 551.8516478888816)
('4098617', 551.0198985914475)
('44782429', 546.1329391412443)
('444269', 534.6216752043505)
('432250', 525.1246376354362)
('439696', 523.4569683260336)
('4308394', 517.0270940190944)
('4309318', 517.0270940190944)
('45757557', 516.7906360947512)
('141084', 511.7314334768614)
('434911', 511.3305045589771)
('45757690', 511.0620478411163)
('4294300', 506.1230919929999)
('441215', 505.29798926663636)
('3010300', 504.8145843235943)
('3025673', 504.8145843235943)
('3007332', 504.8145843235943)
('3009582', 504.8145843235943)
('437247', 503.782347092943)
('4100857', 502.6295166793437)
('4088373', 501.82825136711494)
('377830', 501.82825136711494)
('4248429', 494.874755336968)
('4108680', 494.64518357723443)
('4172822', 492.11183964374175)
('4057826', 488.49921495323)
('440320', 483.40933577909044)
('46269816', 483.1283085770851)
('4101747', 482.4964811862773)
('46269831', 479.8981336588472)
('4143214', 476.1218816492002)
('36716654', 471.96218288019435)
('4055640', 466.1995028084542)
('434256', 465.8945147056188)
('19133204', 465.58087785005637)
('380097', 464.26515549021923)
('4108215', 463.3139610584568)
('36714559', 462.39636702463474)
('193787', 459.07065827135585)
('37399017', 458.3372413624415)
('436040', 457.94603082853064)
('4110056', 455.07418698114066)
('4138962', 454.3537604257799)
('436110', 453.5032315537691)
('443465', 453.10503696425815)
('40479572', 449.14645870725997)
('4221399', 442.958673396951)
('192240', 442.1278110069048)
('45768812', 441.7722224658804)
('36716700', 439.1778797345817)
('4154415', 439.1484286861235)
('436659', 438.4691180050777)
('4248955', 437.3281781220536)
('43531622', 435.4615753886677)
('4344493', 435.3656040016188)
('44782781', 434.38724067059314)
('4163865', 433.6342739176145)
('4006994', 433.6342739176145)
('440583', 431.0183731640641)
('441172', 427.0952881558262)
('443509', 427.0952881558262)
('4047563', 427.0952881558262)
('377566', 426.0892013324544)
('138027', 424.8528491362557)
('4328217', 423.9517654031566)
('35622934', 423.9498062888057)
('4169592', 422.97954760767095)
('4296611', 422.97954760767095)
('4195231', 422.97954760767095)
('4294973', 422.97954760767095)
('318773', 422.7393508195259)
('46270410', 420.9888393890159)
('46271915', 420.9888393890159)
('46270406', 420.9888393890159)
('196149', 420.13926129590476)
('44784251', 420.13926129590476)
('4341763', 419.9323741279183)
('314965', 419.439551528029)
('432656', 419.439551528029)
('4258295', 419.439551528029)
('40481089', 419.439551528029)
('193512', 419.439551528029)
('198446', 419.439551528029)
('4289830', 417.6553216367796)
('4222896', 417.6553216367796)
('441051', 417.39445258589626)
('40232612', 415.2261845416999)
('40234552', 415.2261845416999)
('439672', 415.0305187655972)
('381952', 414.14852695688086)
('192279', 414.08348157135123)
('437214', 413.7662835311771)
('440323', 411.9622917544675)
('443247', 410.2394309398601)
('37016349', 409.8717244596501)
('376979', 408.83397678980276)
('4225656', 408.83397678980276)
('4221495', 408.83397678980276)
('432452', 408.80095198427324)
('46273178', 407.1802656759322)
('23988', 406.93139502217775)
('439298', 406.71274591864494)
('80488', 405.84258956952965)
('764123', 404.7715442571821)
('4204555', 403.9955811046573)
('440460', 403.8368037925035)
('4149913', 403.7813171777452)
('4344161', 403.1258173168233)
('439216', 402.89157139778433)
('4144111', 402.70734925481304)
('19023422', 401.6132672886964)
('3000593', 401.2483472696953)
('380096', 400.2831933209668)
('4174977', 400.2831933209668)
('436039', 400.19870150112143)
('316280', 399.86254097588767)
('201730', 399.86254097588767)
('433135', 398.8433582915032)
('46273369', 398.5992789521321)
('2617332', 398.3641365106173)
('373766', 395.3951656097579)
('133810', 393.57007794520297)
('438172', 392.7883485445818)
('4190891', 392.3820408852741)
('4131908', 391.03143225815376)
('4226798', 390.9626395129194)
('44784364', 389.47015239748123)
('4147491', 389.4498701969283)
('436664', 389.32205453026734)
('42535403', 389.31671045655395)
('253790', 389.2759919588514)
('40228843', 388.71528235209655)
('436607', 388.0027773429801)
('43020910', 387.99005586701975)
('43530687', 387.8407825792674)
('4101104', 387.4243145767347)
('4177387', 387.4243145767347)
('1387632', 385.7584375466081)
('43530666', 383.8594584662727)
('444196', 383.6906045913541)
('444198', 383.6906045913541)
('375404', 381.7277394175659)
('436678', 380.1583005331287)
('40478938', 379.19636746818446)
('3009596', 378.84055771205794)
('4099214', 378.6928019078927)
('19073815', 376.96955509589935)
('258866', 376.7880178868706)
('4195694', 376.7880178868706)
('443730', 376.4636212474457)
('1792515', 376.443236453714)
('378726', 376.00747383225746)
('46269751', 375.4722793757417)
('46269753', 375.4722793757417)
('46269756', 375.4722793757417)
('37016108', 375.4722793757417)
('37016107', 375.4722793757417)
('46273461', 375.4722793757417)
('4269764', 374.9830492326381)
('30437', 374.68363948139455)
('4110189', 374.25305926894185)
('40481816', 373.9435960334068)
('196523', 373.5492343048787)
('44782821', 373.44095525008566)
('4101286', 373.3843066430678)
('372654', 373.16967350093995)
('443599', 373.16967350093995)
('443609', 373.16967350093995)
('45769876', 373.03993112305574)
('437045', 372.68097160432706)
('321822', 372.62428377109325)
('441258', 371.77547061548205)
('37312524', 371.6717635189424)
('42799215', 371.55282169042675)
('4147683', 371.52754972536684)
('4317816', 370.7142885301006)
('37312529', 370.6202410615821)
('438648', 370.33027956164983)
('376973', 367.02055822633764)
('4083100', 366.932058003839)
('192674', 366.60682610591664)
('4055901', 366.193911555104)
('200687', 364.27916934891795)
('443731', 364.27916934891795)
('4230221', 364.09943816470644)
('433029', 363.67507461222675)
('19026804', 363.61345704015105)
('19133859', 363.61345704015105)
('19133905', 363.61345704015105)
('19026560', 363.61345704015105)
('19133873', 363.61345704015105)
('440396', 363.09130568054076)
('46273592', 362.2790854621212)
('40487616', 361.97462317794555)
('3034780', 361.94882548020405)
('312437', 361.2752543699233)
('437189', 361.22548905671914)
('19008521', 360.2934211595095)
('42872398', 360.1660975613514)
('46270027', 359.85670989106603)
('46274035', 359.85670989106603)
('4025165', 359.1684320036418)
('195587', 358.9862722935803)
('441768', 358.6720807504101)
('4180771', 358.6720807504101)
('40482301', 356.5683696089789)
('4055369', 355.99637295902244)
('440022', 355.83169760709745)
('196726', 355.29519048310993)
('201352', 355.29519048310993)
('19131621', 355.03806011091245)
('4177197', 355.00821855679646)
('437663', 353.9280997440292)
('440637', 353.9280997440292)
('43530646', 353.9280997440292)
('43530637', 353.9280997440292)
('435315', 353.3911401370544)
('40243855', 353.30783269953855)
('4191650', 352.9903151003436)
('4312059', 352.53730715231427)
('437528', 352.10980456913)
('439253', 352.10980456913)
('4152858', 351.8263546496175)
('376065', 350.5934316351679)
('377821', 350.5934316351679)
('46269875', 350.1577466144139)
