('19131544', 741.7130033963231)
('40233612', 707.289657870309)
('44783628', 563.7453826287107)
('19131481', 546.8678465408319)
('40173507', 507.69418833449095)
('4058695', 481.7558123104858)
('42800463', 471.9893986668932)
('4331309', 465.53202097814795)
('4098617', 438.70593407153245)
('37119138', 426.7260232871088)
('3018994', 426.47595624069135)
('3022250', 426.47595624069135)
('432589', 418.2377583182319)
('4098740', 416.0823926250411)
('40171333', 413.2826174792726)
('4029420', 413.02457380305543)
('441827', 410.0625192061315)
('439696', 404.86808035202847)
('435565', 404.61059564796767)
('432250', 401.169619313295)
('44782429', 400.3307761635035)
('4308394', 399.26036745843055)
('4309318', 399.26036745843055)
('45757557', 396.7396865497484)
('4108680', 390.2328472060325)
('45757690', 388.90899345798334)
('434911', 387.27971725252917)
('4057826', 384.7965790084219)
('35622934', 382.92708622987277)
('441215', 375.56887787441696)
('377830', 373.87754732523075)
('4088373', 373.87754732523075)
('444269', 371.14638934851865)
('4108215', 370.3043462340901)
('45770830', 368.08202252765074)
('4100857', 362.79702458335623)
('141084', 362.65012149653256)
('4172822', 362.1019793934892)
('4055640', 359.95180943987543)
('3009582', 358.6765102783505)
('3010300', 358.6765102783505)
('3007332', 358.6765102783505)
('3025673', 358.6765102783505)
('4110056', 353.7559947252973)
('437247', 352.2357325043373)
('45769207', 345.16144500281774)
('436110', 342.47884672965915)
('46270406', 338.907171295303)
('46271915', 338.907171295303)
('46270410', 338.907171295303)
('436040', 338.47788408025474)
('192240', 337.25272219881253)
('36714559', 336.11127514511935)
('440320', 335.70383984318096)
('196149', 335.177028260769)
('44784251', 335.177028260769)
('4294300', 332.93903754093714)
('193787', 331.01033070459147)
('4149913', 329.62831656234323)
('36716654', 328.1603168206606)
('4154415', 325.9005873168973)
('439298', 325.71553632117383)
('37399017', 322.6066598104982)
('46273369', 321.6005645660354)
('198446', 317.79126269904214)
('314965', 317.79126269904214)
('432656', 317.79126269904214)
('4258295', 317.79126269904214)
('40481089', 317.79126269904214)
('193512', 317.79126269904214)
('318773', 316.991783680934)
('1792515', 316.86052305959856)
('443465', 316.4841690323717)
('381952', 315.9395899677204)
('253790', 315.9215925844992)
('440583', 313.76328664597247)
('40478938', 313.50477370430343)
('40479572', 312.0386545928459)
('138027', 311.8880612381848)
('45768812', 311.4135799010164)
('4221495', 309.7890913782895)
('4225656', 309.7890913782895)
('376979', 309.7890913782895)
('258866', 308.9857643782633)
('4195694', 308.9857643782633)
('46269816', 308.7696384194972)
('443509', 303.3426224092751)
('441172', 303.3426224092751)
('4047563', 303.3426224092751)
('437214', 303.10691125167847)
('44782781', 302.41416441722055)
('316280', 301.4996850749037)
('201730', 301.4996850749037)
('380096', 299.8442693167889)
('4174977', 299.8442693167889)
('443599', 299.7401902977415)
('372654', 299.7401902977415)
('443609', 299.7401902977415)
('37016349', 299.71715742375886)
('434256', 299.59630818932567)
('436659', 299.5388545434714)
('192279', 299.2303845693136)
('196523', 298.98838973296864)
('4344493', 297.8166136608046)
('44784364', 297.00952111891723)
('380097', 295.98571414737245)
('4248955', 294.4974255121751)
('3034780', 294.1730558886297)
('440396', 294.1698565313067)
('4143214', 292.5240060716926)
('440323', 292.47758681409306)
('40481816', 292.35403019797076)
('4110189', 292.1682715555933)
('23988', 291.7072787550439)
('43020910', 290.44901547204057)
('19131621', 289.7287747157411)
('46270027', 289.39821200831386)
('46274035', 289.39821200831386)
('4101747', 288.66237491196483)
('192674', 288.0264181156971)
('42872398', 287.8995842843361)
('4131908', 287.8624312144699)
('42535403', 287.7592231088314)
('443247', 286.7496567140384)
('4344161', 286.69464239998325)
('44507566', 286.05715282240277)
('4328217', 285.7192212143567)
('37312519', 283.73555222624026)
('40228843', 283.3672523271506)
('440022', 283.2936394204324)
('438172', 282.50455903303043)
('377566', 282.4676930882989)
('4025165', 281.59756643417967)
('46273178', 281.3663308455482)
('433135', 280.9404906878283)
('436607', 280.4795514219151)
('436039', 279.79837433807916)
('439672', 279.56896793481667)
('4099214', 279.435900968176)
('4341763', 278.8757353250312)
('43531622', 278.3677952015267)
('2617332', 277.48658264182865)
('19008521', 277.222283507398)
('46269831', 277.10658396115923)
('4226798', 276.4425078559795)
('44784631', 273.6944995408289)
('43530744', 273.53373030557395)
('4190891', 273.4076467632401)
('321822', 273.23513170113915)
('4248429', 272.38036156675605)
('46269875', 272.24808737016383)
('44782821', 271.71872927960464)
('441051', 271.3262556087726)
('80488', 270.75155951122383)
('4221399', 269.0971865716823)
('46270491', 268.64588258500754)
('4307774', 268.64588258500754)
('46273463', 268.64588258500754)
('4063038', 266.4461105645146)
('4060296', 266.4461105645146)
('439216', 266.0884756192663)
('46270367', 265.59031651216503)
('43530666', 263.78330853072555)
('4269764', 263.771764221895)
('432545', 263.48952293129827)
('433823', 263.48952293129827)
('436621', 263.48952293129827)
('440328', 263.48952293129827)
('4280828', 263.48952293129827)
('141498', 263.48952293129827)
('435459', 263.48952293129827)
('440647', 263.48952293129827)
('36714927', 263.48952293129827)
('4220631', 263.2497864746314)
('432452', 262.51963451708144)
('439673', 261.77613954148774)
('439675', 261.77613954148774)
('43531616', 261.7753757817362)
('133810', 261.0351192835837)
('373766', 260.08301251139983)
('433029', 259.5576420686618)
('2617205', 259.51390138507276)
('376065', 259.4536023096169)
('377821', 259.4536023096169)
('4138962', 259.2556199788485)
('436333', 258.980210587736)
('4214984', 258.980210587736)
('46270162', 258.9355033144431)
('46270163', 258.9355033144431)
('37312524', 258.0775563525899)
('313223', 257.4989076118545)
('4152858', 257.39450040272965)
('4331508', 256.8726509946154)
('192855', 256.8726509946154)
('46273592', 256.1635073033097)
('81931', 254.5351968945529)
('43531768', 253.52805706800007)
('4081250', 253.33468606232435)
('2514534', 253.16237870638096)
('43530656', 253.02765874453817)
('45769876', 252.92097210355502)
('78073', 252.24151830189274)
('440952', 252.24151830189274)
('443535', 252.24151830189274)
('443596', 252.24151830189274)
('4231983', 252.24151830189274)
('4309924', 252.24151830189274)
('4321384', 252.24151830189274)
('40481774', 252.24151830189274)
('40482261', 252.24151830189274)
('43021985', 252.24151830189274)
('134569', 252.24151830189274)
('434872', 252.24151830189274)
('436020', 252.24151830189274)
('436038', 252.24151830189274)
('437920', 252.24151830189274)
('440276', 252.24151830189274)
('440938', 252.24151830189274)
('4020111', 252.24151830189274)
('4143698', 252.24151830189274)
('4145763', 252.24151830189274)
('4176170', 252.24151830189274)
('4190298', 252.24151830189274)
('4200532', 252.24151830189274)
('42538804', 252.24151830189274)
('43021258', 252.24151830189274)
('43530819', 252.24151830189274)
('43530910', 252.24151830189274)
('4093002', 251.49459541265225)
('915611', 251.01743693642487)
('2617376', 251.01743693642487)
('764123', 250.75149090441073)
('40486629', 249.87871486115324)
('4058841', 249.65798768242485)
('40482301', 249.64268873727144)
('252351', 249.28570011223584)
('254677', 249.28570011223584)
('258180', 249.28570011223584)
('259852', 249.28570011223584)
('259992', 249.28570011223584)
('436145', 249.28570011223584)
('440431', 249.28570011223584)
('443410', 249.28570011223584)
('36714118', 249.28570011223584)
('254066', 249.28570011223584)
